
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ԱԿԱՆԱՆԵՏ	 ականներ արձակող կարճ և լայնաբերան հրազեն: Ա. նախատեսված է 45-85» բարձրացման անկյամբ գագաթնահար հետագծով հրաձգություն կատարելու համար: Ա-ն աչքի է ընկնում պարզ կառուցվածքով և փոքր քաշով: Ավանդաբար կիրառվում է բաց տեղակայված և ծածկոցների հետևում պատսպարված կենդանի ուժը խոցելու, դաշտային ամրաշինական բոլոր տիպի կառույցներն ավերելու համար: Կիրառվել է Արցախյան գոյամարտի տարիներին և այսօր էլ լայն կիրառություն ունի: 
ԱԿԱՆԱՆԵՏԱՅԻՆ ՄԱՐՏԿՈՑ	 3-4 ականանետ ունեցող 2-3 կրակային դասակներից կազմված ականանետային ստորաբաժանում: 
ԱԿԱՆԱՊԱՏՈՒՄ	 հակառակորդին կորուստներ պատճառելու, նրա զորաշարժը սահմանափակելու և շինություններն ավելելու նպատակով ականապատ դաշտերի կազմում, խմբային և մեկական ականների (ֆուգասների) տեղադրում: 
ԱԿԱՆԱՏ	 զանազան տիպի պաշտպանական կառույցների ու զրահավոր աշտարակների պատերի մեջ բացված անցք՝ նետաձգության կամ հակառակորդին այլ կերպ խոցելու համար: 
ԱԿԻՆԱԿ (ՆՐԱՆ)	 հատուկ սահմանափակիչով սկյութական երկար դաշույն (կամ կարճ թուր): Հայտնի է Ք.ա. VII դ. կեսերից: Հայտնի են երկու տեսակի շեղբերով Ա. եռանկյունաձև մի քանի հատվածներով (բնորոշ է արևմտաիրանական շեղբերի համար) և սահուն միավորվող զուգահեռ սայրերով, կողով կամ շեղանկյունաձև կտրվածքով: Ակինակները լայն տարածում էին գտել մեր տարածաշրջանի ժողովուրդների մոտ, որտեղ, ուղղակի զենք լինելուց բացի, հանդիսանում էին նաև զորականների, զինվորական ազնվականությանը պատկանելու խորհրդանիշ: 
ԱԿՈՍԱՎՈՐ ՀՐԱԶԵՆ	 հրազեն, որի փողանցքի ուղղորդ մասը արկին (գնդակին) պտտական շարժում հաղորդելու նպատակով պարուրակաձև ակոսներ ունի: Դրա շնորհիվ արկը (գնդակը) հետագծում կայունությունը չի կորցնում, ինչը հնարավորություն է ընձեռում հրաձգության համար բավարար հեռահարություն և խտություն ստանալ: 
ԱԿՏԻՎ ՊԱՇՏՊԱՆՈՒԹՅՈՒՆ	 պատերազմող կողմերից մեկի կողմից պաշտպանական գործողությունների վարում, ոչ միայն տարածքը պահելու, այլև հիմնականում հակառակորդի խոշոր ուժերը հյուծելու և արյունաքամ անելու նպատակով: 
ԱՂԵՂ	 սովորաժար 30-250մ (լայնալիճ աղեղով՝ կրկնակի ավելի) հեռավորության վրա նետեր արձակելու համար նախատեսված ձեռքի նետող զենք: Արդյունավետ խոցման հեռավորությունը կազմում էր մինչև 200 մետր: 
ԱՂԵՂՆԱԶԵՆ	 կատարելագործված աղեղ՝ նետ, քար և այլն նետելու համար: 
ԱՄԻՐԱ	 1. անվանում, որը Արաբական խալիֆայության մեջ տրվում էր նահնագների կառավարիչներին և զորահրամանատարներին: Խալիֆայության թուլացումից հետո անկախացած նահանգների մահմեդական կառավարիչների զգալի մասը շարունակեց կրել Ա. տիտղոսը, իսկ նրանց ստեղծած պետությունների մեծ մասը կոչվում էին ամիրայություններ: Հայտնի են բազմաթիվ դեպքեր, երբ Ա-ի կարգավիճակի փոփոխման դեպքում (հարևան ամիրայությունների նվաճման արդյունքում փաստացի կայսերական լիազորությունների ձեռքբերումից հետո) Ա-ն շարունակել է կրել նույն տիտղոսը: Եվ հակառակը` ամիրայության անկախության փաստացի կորստից ու Ա-ի հեղինակության անկման հետևանքով պետությունում իշխանությունը Ա-ի խնամակալին (աթաբեկին) անցնելուց Ա-ն կարող էր պահպանել իր գահը: 2. Զաքարյանների օրոք Ա. էին կոչվում ազատագրված քաղաքների կառավարիչները: 
ԱՄՐԱՇԻՆԱԿԱՆ ԿԱՌՈՒՅՑՆԵՐ	 մարտական տեխնիկայի կիրառման արդյունավետությունը բարձրացնելու, զորքերի հուսալի կառավարումն ապահովելու և զորքերը հակառակորդի խոցման միջոցներից պաշտպանելու համար նախատեսված ինժեներական կառույցներ: 
ԱՄՐԱՇԻՆՈՒԹՅՈՒՆ	 ռազմաճարտարապետական գիտություն տեղանքը ռազմական կառույցներով ամրացնելու մասին: 
ԱՄՐԱՑՎԱԾ ՃԱՄԲԱՐ	 զորքերը կենտրոնացնելու (տեղաբաշխելու) և հակառակորդի հավանական հարձակումն անդրադարձնելու համար նախատեսված տեղանքի հատված: Տարբեր խնդիրներ կատարելու համար ելակետ է հանդիսանում: Առաջին դաշտային ամրաշինական կառույցներից է: 
ԱՄՐՈՑ	 արհեստական կերպով ամրացված դիրք կամ ռազմական կառույց թշնամու հարձակումներից պաշտպանվելու համար: 
ԱՄՐՈՑԱՅԻՆ ԹՈՒՄԲ	 ժարձր հողային լիցք ամրոցում, սովորաժար՝ առջևում փորված փոսով: 
ԱՅՐՈՒՁԻ	 Հայոց հեծելազորը հին և միջին դարերում: Պեղածո նյութերն ու սեպագիր արձանագրությունները հավաստում են, որ Ք.ա. I հազարամյակում Հայկական լեռնաշխարհի բնակիչները պատերազմներում օգտագործում էին ինչպես մարտակառքեր, այնպես էլ Ա.: Ըստ Քսենոփոնի, Երվանդունիներն ունեին 8 հազարանոց Ա.: Հայոց Ա. ավելի մեծացվեց և կանոնավորվեց Արտաշեսյանների օրոք: Հայոց Ա. կորիզը Հին աշխարհում հռչակված ծանրազեն զրահավոր հեծելազորն էր, որի համար ընտրվում էին առավել մարմնեղ և ուժեղ ձիեր: Հեծելամարտիկները կրում էին ծանր հանդերձանք, մետաղե թիթեղներով պատած կամ մետաղե զրահներ (սաղավարտ, վզնոց, օղազրահ, ուսակալ, սրունքակալ, լանջապանակ, սռնապան, կրծքակալ ևն): Գլխավոր զենքը երկար նիզակն էր: Զրահավոր Ա. հայկական բանակի գլխավոր հարվածային ուժն էր, որը գրոհում էր սեպաձև խիտ շարքերով: 
ԹԵԹԵՎԱԶԵՆ Ա.	 որի համար ընտրվում էին համեմատաբար փոքրամարմին, արագավազ և դիմացկուն նժույգներ, դյուրաշարժության համար չէր զրահավորվում: Հեծյալի հիմնական զենքը նետ ու աղեղն էր: Թեթևազեն Ա. կատարում էր բանակի մարտակարգի թևերն ու թիկունքը պաշտպանելու, գլխավոր ուժերի ծավալմանը սպասարկելու, ցրված ուժերը կենտրոնացնելու, հակառակորդին հետապնդելու, հետախուզելու և այլ պարտականություններ: Հարձակվում էր ցրիվ շարքերով: Հայոց Ա. կարևոր դեր էր կատարում պարթևա-հռոմեական մրցակցությունում. նրա անցումը մեկի կամ մյուսի կողմը հաճախ ունենում էր վճռական նշանակություն: Հռոմը մարտունակ հեծելազոր չուներ: Այդ պատճառով ահեղ հեծելազորատեր Պարթևստանի դեմ մղվող պատերազմներում ձգտում էր շահել Հայաստանի դաշնակցությունը: Արշակունիների ժամանակ Ա., մասնավորապես ծանրազենը, համալրվում էր ազնվատոհմիկներով՝ ազատներով, որոնց դաստիարակության մասն էր կազմում ձիավարժությունը: Պատերազմի ժամանակ ցածր խավերից նույնպես ստեղծվում էր առանձին հեծելագունդ, որը կոչվում էր «ռամիկ Ա»: Ա-ի գերագույն հրամանատարը կոչվում էր «ասպետ», որը միաժամանակ «թագադիր» կամ «թագակապ» իշխան էր: Այդ պաշտոնը Բագրատունիների տոհմի մենաշնորհն էր: Արշակունիները Ա. խիստ մեծացրեցին հատկապես III-IV դդ, երբ Հայաստանի անկախությանն սպառնաց Սասանյան Պարսկաստանը: Տրդատ Գ Մեծի օրոք Հայոց Ա. 70 հազարից անցնում էր, իսկ Արշակ Բ-ն և Պապը այն հասցրին 12 բյուրի (120 հազարի): Արշակունիների օրոք Ա. կազմում էր նախարարական և արքայական հեծելագնդերից: Զորանամակը հավաստում է, որ 86 նախարարություններ ներկայացնում էին 84 հազար ձիավոր մարտիկ, իսկ արքայականը կազմում էր 40 հազար: Ա-ի զինվորական աստիճանների, հրահանգների, կանոնադրությունների, զինանշանների, դրոշների մասին պահպանվել են կցկտուր տեղեկություններ: Աղբյուրներում հիշատակվում են «բյուրավորք», «հազարավորք», «գումապետք», «հարդարիք մարտի», «աղեղնադրոշք», «ասպարախաղք» կամ «ասպախաղք», «դրոշակակիրք», «վառնունիք», «ճակատամուղք» ստորաբաժանումների անուններ: Արշակունիների անկումից հետո հայկական Ա-ի թիվը նվազեց: Մարզպանական Հայաստանում (V-VII դդ), ըստ Սեբեոսի և Հովհան Մամիկոնյանի, Ա. 30 հազարից չէր անցնում: Հայաստանի կախվածությունը Սասանյան Պարսկաստանից հիմնականում արտահայտվում էր Ա. նրան տրամադրելու մեջ: Պարսկական իշխանությունը աշխարհագիր կատարելիս հաշվառում էր նաև հեծելազորայիններին և նրանց թվի համեմատ ռոճիկ վճարում: Այդպես էր վարվում նաև Բյուզանդիան: 529-ին հատուկ հրովարտակով Հուստինիանոս կայսրը Հայաստանի Բյուզանդական մասում արգելեց նախարարներին հեծյալ ուժեր ունենալ: Այս վիճակը տևեց մինչև արաբական նվաճումները (VII դ. կես): Արաբները շարունակեցին հայ հեծյալ ուժերի գրանցման և նրանց ռոճիկ վճարելու պարսկական կարգը: 652-ի հայ-արաբական պատմագրի համաձայն, Հայաստանը կարող էր պահել 15-հազարանոց Ա., որի ռոճիկը (տարեկան 100 հազար արծաթ) վճարելու էին արաբները: Այս կարգը պահպանվեց մինչև Աբդուլահ խալիֆը (750-775թթ): Բագրատունիների օրոք նույնպես հեծելազորային ծառայությունը գերազանցապես կատարում էին ազատները: Օտար զավթիչների հարատև սպառնալիքները Բագրատունիներին մղում էին մշտական հեծյալ բանակի հզորացմանը: Գագիկ Ա-ի ժամանակ (990-1020թթ.) արքունական զորագնդերում հաշվվում էր 55 հազար, իսկ իշխանականներում` 45 հազար զինվոր: Բագրատունիների թագավորության անկումից հետո, սելջուկ թուրքերի տիրապետության շրջաններում (XI-XIIդդ.) հայ «հեծելազորն անտերունչ թափառում էր Պարսից, Հունաց և Վրաց կողմերում: Ազատների սեպուհ գունդը հայրենազրկվեց» (Արիստակեսի Լաստիվերցի): XII-XIIIդդ. հայ հեծելագնդերը վրաց Բագրատունիների բանակում խոշոր դեր խաղացին ինչպես վրացական պետության հզորացման, այնպես էլ հայկական հողերի՝ Գուգարքի, Տայքի, Սյունիքի, Այրարատի, Հս. Տուրուբերանի և Բարձր Հայքի արևելյան մասի ազատագրման գործում: XIII-XIVդդ. թաթար-մոնղոլական նվաճողները վերջ դրեցին հայկական հեծելազորի ինքնուրույն գոյությանը: Կիլիկյան Հայաստանում Ա. համալրում էին մանր ազնվականները, որի համար կոչվում էին «ձիավորներ» կամ «հեծվորներ»: Նրանք զգեստավորվում ու զրահավորվում էին եվրոպական խաչակիր ասպետների նման, ստանում զինվորական կրթություն: Պատերազմների ժամանակ հատուկ հեծելագունդ էր ստեղծվում նաև ցածր խավից, որը կոչվում էր «ցած հեծելվորք» կամ «ցած շինականք հեծվորք»: Կիլիկյան Հայաստանի պետականության վերացումով (XIV դ.) նրա Ա. ևս դադարեց գոյություն ունենալուց: 
ԱՆԿԱՆՈՆ (ՈՉ ԿԱՆՈՆԱՎՈՐ) ԶՈՐՔԵՐ	 միասնական, մշտական կազմ չունեցող կամ կանոնավոր զորքերից համալրման և ծառայությունը տանելու կարգով տարբերվող զորքեր: 
ԱՆՀԵՏԱԳԼՈՐ ՀՐԱՆՈԹ	 դասական հրանոթներից տարբերվում են նրանով, որ հրաձգության ուղղությանը հակառակ ուղղությամբ վառոդի գազերը բաց թողնելու համար փողի լցամասում ծայրափողրակ ունեն: Առաջացող դինամիկական հավասարակշռության հետևանքով կրակոցի դեպքում փողը փաստորեն մնում է անշարժ: Դա թույլ է տալիս հրաժարվել մեծածավալ և ծանր հակագլորքի սարքերից, ինչն էլ իր հերթին ապահովում է հրանոթի փոքր քաշը: Հենց փոքր քաշի շնորհիվ էլ ԱՀ առավելագույնս համապատասխանում են օդադեսանտային և լեռնահրաձգային զորքերի պահանջներին: 
ԱՆՎՏԱՆԳ ՀԵՌԱՎՈՐՈՒԹՅԱՆ ԲՆԱԳԻԾ	 սեփական արկերի անկման (պայթելու) վայրից նվազագույն հեռավորության վրա գտնվող տեղանքի պայմանական գիծ, որի վրա առաջնային ստորաբաժանումների անձնակազմը չի կարող խոցվել: 
ԱՆՑՈՒՄՆԵՐ ԱՐԳԵԼԱՓԱԿՈՑՆԵՐՈՒՄ	 սեփական զորքերը բաց թողնելու համար արգելափակոցներից մաքրված կամ արգելափակոցներից ազատ թողնված տեղանքի գոտիներ: 
ԱՇԽԱՐՀԱԶՈՐ	 կամավորական հիմունքներով խաղաղ բնակչությունից կազմավորված ռազմական ստորաբաժանում: 
ԱՇԽԱՐՀԱԶՈՐԱՅԻՆ	 աշխարհազորային ստորաբաժանումներում կամավոր ծառայող անձ: 
ԱՇԽԱՐՀԱՎԱՆԴ ՀԱՆԳՈՒՅՑ	 գլխի վրա, գարգմանակի (արծվի) հետևից կրելու համար: Բառի կազմությունը պարզ չէ: Հայտնի է միայն, որ վերջին վանկը հնդեվրոպական մի շարք լեզուներում (պարսկերեն, ֆրանսերեն, ռուսերեն և այլն) մեր օրերում էլ որպես հագուստի զարդ կիրառվող «բանդ» կամ «բանտ» բառն է, որը նշանակում է հանգույց, կապ: Համարում են, թե դա մի ժապավեն է եղել, որ գլխի հետևը ժանտի նման կապում էին և երկու ծայրերը կախ ձգում, ինչպես որ երևում է Տիգրան Բ Մեծի դրամների վրա: 
ԱՇՏԱՐԱԿ	 շրջանաձև՝ քառակողմ կամ բազմակողմ բարձր ու նեղ կառուցվածք ամրոցի պարիսպների վրա՝ հակառակորդին դիտելու և նրա դեմ կռվելու համար: 
ԱՇՏԵ	 երկար կոթով նիզակ` ձեռքով հարվածելու կամ նետելու համար: Ա-ի կոթունը պատրաստված է փայտից, ծայրը՝ հնում բրոնզից, միջնադարում՝ երկաթից: Հայկական բանակում եղել է աշտեավորների հատուկ զորամաս: Ա. առաջին անգամ հիշատակում է Մովսես Խորենացին, որն այն նույնացնում է մկունդի հետ: 
ԱՊԱՀՈՎԻՉ	 ռազմական տեխնիկայի (զենքի) ակամա կամ վտանգավոր գործողությունը բացառող հարմարանք: 
ԱՊԱՍՏԱՆԻ ԻՐԱՎՈՒՆՔ	 իրենց երկրներում քաղաքական, ազգային ազատագրական, կրոնական, գիտական և այլ գործունեության համար հետապնդվող օտարերկրյա քաղաքացիներին իր տարածքում մուտքի և բնակության թույլտվություն տալու պետության իրավունքը: 
ԱՊԱՏԵՂԵԿԱՏՎՈՒԹՅՈՒՆ	 հակառակորդին մոլորեցնելու նպատակով սեփական զորքերի, նրանց խմբավորման, կազմի, սպառազինության, մարտունակության, ռազմական գործողությունների մասին կանխամտածված կեղծ լուրեր տարածելու քողարկման հնարք: 
ԱՊԻԶԱԿ ԿԱՄ ԱՊԵԶԱԿ	 կրծքի զարդ: Կիրառել է միայն Փավստոս Բուզանդը և միայն Մանուել Մամիկոնյանին ուղարկված պատիվները թվարկելիս: Առաջարկվող մյուս բացատրությունները (գինդ, օղ և այլն) բավարար հիմնավորում չունեն: 
ԱՋԱԿՑՈՂ ՀԱՐՎԱԾ	 գլխավոր հարվածի ուղղությունից մեկ այլ ուղղությամբ ուժերի և միջոցների մի մասով հասցվող հարված: Հիմնականում իրականացվում է հակառակորդի ուշադրությունը գլխավոր հարվածի ուղղությունից շեղելու, նրա ուժերի և միջոցների մի մասը կաշկանդելու և ուժերով ու միջոցներով զորաշարժը բացառելու նպատակով: 
ԱՌԱՋԱՊԱՀ	 գլխավոր ուժերի առջևից մարտական գործողություններ վարող զորամաս, ավանգարդ: 
ԱՌԱՋԱՊԱՀ ՋՈԿԱՏ	 մարտի ժամանակ ինքնուրույն առաջադրանքներ կատարող ուժեղացված ստորաբաժանում: Մարտակարգի տարր է: Հարձակման ժամանակ ապահովում է գլխավոր ուժերի կազմակերպված մարտի մեջ մտնելը (մարտակարգի ծավալվելը): Պաշտպանությունում գործում է ապահովման գոտում: ԱՋ կարող է առանձնացվել նաև ռազմերթի ժամանակ՝ մարտի մեջ մտնելու մտադրության դեպքում (հատկապես հանդիպական մարտի դեպքում): 
ԱՌԱՋԻՆ ԷՇԵԼՈՆ	 զորքերի (ուժերի) օպերատիվ դասավորվածության (մարտակարգի) տարր, որն առաջինն է մտնում մարտի մեջ և նախատեսված է, որպես կանոն, օպերացիայի (մարտի) ժամանակ հիմնական խնդիրներ կատարելու համար: 
ԱՌԱՋՆԱՅԻՆ ԵՐԹԱՅԻՆ ՈՒՂԵԿԱԼ (ՌԱԶՄԵՐԹԻ ԱՌԱՋՆԱՅԻՆ ՈՒՂԵԿԱԼ)	 երթային պահպանության օրգան, որն ուղարկվում է գլխավոր ուժերի անխափան տեղաշարժն ապահովելու, պահպանվող զորքերի մոտ հակառակորդի հետախուզության ներթափանցումը, նրանց վրա հանկարծակի հարձակումը կանխելու և բացազատվելու ու մարտի մեջ մտնելու նպաստավոր պայմաններ ստեղծելու առաջադրանքով: 
ԱՌԱՎԵԼԱԳՈՒՅՆ ՀԵՌԱՎՈՐՈՒԹՅԱՆ ԱՆԿՅՈՒՆ	 հրաձգության այն անկյունը, որի դեպքում գնդակի թռիչքի լրիվ հորիզոնական հեռավորությունը դառնում է առավելագույն: Լրիվ հորիզոնական հեռավորության անկյան առավելագույն մեծությունը տարբեր տեսակի զենքերի գնդակների համար կազմում է մոտ 35°: 
ԱՍՊԱՏԱԿ	 հեծյալ զորամաս, որ պատերազմի ժամանակ և հաղթությունից հետո ուղարկվում էր թշնամու երկիրը՝ գերի և ավար բերելու: 
ԱՍՊԱՐ	 պաշտպանական սպառազինություն, որը կռվողները կրում էին թևի վրա՝ հակառակորդի հարվածներից և նետերից պաշտպանվելու համար, վահան: 
ԱՍՊԵՏ	 VIII-XVդդ. Արևմտյան Եվրոպայում ազնվական ծանրազեն զրահավոր հեծելազորային: 
ԱՍՊԵՏԱԿԱՆ ԶՈՐՔ 	 ծանրազեն հեծելազոր, որը VIII-XVդդ. Արևմտյան Եվրոպայում հանդիսացել է ավատատիրական բանակի հիմքը: Ա.Զ. աշխարհազոր էր, որը հանդիսանում էր արևմտաեվրոպական բանակների կորիզը: Ասպետի հիմնական սպառազինությունը երկար նիզակ էր, երկսայրանի ծանր սուր և տապար: Ա.Զ-ի ստորին կազմակերպական միավորը (ասպետ, զինակիր, հեծյալ (կամ` հետևակային) նետաձիգների ոչ մեծ խումժ, 1-2 ծառաներ) կոչվում էր «նիզակ»: Ա.Զ. զորամասերը բաղկացած էին լինում 25-80 «նիզակից» (իշխանն իր վասալ ասպետների ստորաբաժանումներով), որոնք կոչվում էին «դրոշ»: Ճակատամարտը սովորաբար հանգում էր ասպետների մենամարտերի, որոնց ելքով էլ վճռվում էր հաղթող կողմը, քանի որ ծանրաշարժ Ա.Զ-ը սովորաբար ի վիճակի չէր լինում հետապնդել նահանջող հակառակորդին: 
ԱՎԱԶԱԿ	 խաղաղ բնակչության վրա հարձակվելու նպատակով զինված խմբերի (հրոսակախմբերի) անդամ: 
ԱՎԱԶԱԿՈՒԹՅՈՒՆ	 խաղաղ բնակչության կամ կազմակերպությունների վրա հարձակվելու նպատակով զինված խմբերի (հրոսակախմբերի) ստեղծում, ինչպես նաև նմանատիպ խմբերում և գործողություններում մասնակից լինելը: 
ԱՎԱՆԴՈՒՅԹՆԵՐ	 պատմականորեն ձևավորված և սերնդեսերունդ փոխանցվող կանոնների և վարվելակարգի նորմեր: 
ԱՎԱՐ (ՌԱԶՄԱՎԱՐ)	 հակառակորդից զավթած, նրա կողմից մարտադաշտում լքված կամ հանձնվելու դեպքում հանձնած, զենք, ռազմական հանդերձանք, տրանսպորտի միջոցներ (ձիեր, մեքենաներ ևն), ռազմական տեխնիկա և այլ նյութական արժեքներ: Ողջ Ա. համարվում է հաղթող կողմի սեփականությունը և օգտագործվում է ինչպես ռազմական, այնպես էլ այլ նպատակներով (որպես պարգև նվիրել մարտում աչքի ընկած հրամանատարներին և մարտիկներին):
ԱՎԻԱԽՈՒՄԲ	 1. որոշակի մարտական խնդիրներ կատարելու համար ավագ ավիացիոն հրամանատարի կողմից ավիացիայի մի քանի ստորաբաժանումներից, զորամասերից կամ միավորումներից (միասեռ կամ տարատեսակ) հավաքված ժամանակավոր խումբ, 2. ավիացիայի մարտակարգի տարր: 
ԱՎԻԱՀՐԹԻՌ	 հակառակորդի վերգետնյա, օդային և ծովային նշանակետերը խոցելու նպատակով թռչող սարքերի կիրառվող ավիացիոն ռազմամթերքի տեսակ: Ավիացիոն սպառազինության բաղկացուցիչ մասը: Տարբերակում են չկառավարվող ԱՀ՝ հիմնականում վերգետնյա նշանակետերը խոցելու համար, «օդ-երկիր» տիպի թևավոր և «օդ-օդ» տիպի կառավարվող ԱՀ: 
ԱՎԻԱՌՈՒՄԲ	 թռչող սարքերից նետվող ավիացիոն ռազմամթերքի տեսակ: Ռմբակոծիչ սպառազինության հիմնական տեսակը: Տարբերակում են հիմնական, հատուկ և աջակցող նշանակության Ա.: Հիմնական նշանակության ավիառումբերը կիրառվում են նշանակետերը ֆուգասային, բեկորային, հարվածային, կումուլյատիվ, հրկիզող, քիմիական և միջուկային գործողությամբ խոցելու համար: Ա. առաջին անգամ 1911-1912թթ. իտալա-թուրքական պատերազմի ժամանակ օգտագործել են իտալացիները: Կիրառվում են ագիտացիոն, բեկորային, բեկորաֆուգասային, բետոնահար, գնդիկավոր, զրահարար, լուսավորող, ծխային, հակատանկային, հակասուզանավային, հրկիզող, կառավարվող, միջուկային, նմանակող, քիմիական, ֆուգասահրկիզող Ա.: 
ՀԱՏՈՒԿ Ա.	  տեղանքը լուսավորելու, ծխաքողարկում դնելու, կողմնորոշման և ազդարարման, քարոզչական գրականություն նետելու համար: 
ԱՋԱԿՑՈՂ Ա.	 զորավարժությունների ժամանակ միջուկային պայթյունը նմանակելու, ռմբանետում ուսուցանելու համար են: 
ԱՎԻԱՑԻԱ	 1. մերձերկրային օդային տարածությունում թռչելու համար նախատեսված օդից ծանր թռչող սարքերի ընդհանրական անվանումը: Ինքնաթիռի առաջին հաջող թռիչքը կատարվել է 1903թ. դեկտեմբերին, 2. զինված պայքարի և օդային փոխադրումների միջոց: Տարբերակում են քաղաքացիական և ռազմական Ա.: 
ԱՎԻԱՑԻՈՆ ԱՋԱԿՑՈՒՄ ՕՊԵՐԱՑԻԱՅՈՒՄ (ՄԱՐՏՈՒՄ)	 հակառակորդի կրակային խոցման բաղկացուցիչ մաս: Ցամաքային զորքերի հետ համատեղ ռումբերի, հրթիռների և ավիացիոն սպառազինության այլ տեսակների կիրառմամբ հակառակորդի մարտական տեխնիկայի, կրակային միջոցների և կենդանի ուժի խոցման նպատակով ռազմաօդային ուժերի մարտական գործողություններ: 
ԱՎԻԱՑԻՈՆ ՍՊԱՌԱԶԻՆՈՒԹՅՈՒՆ	 հակառակորդի վերգետնյա, օդային և ծովային նշանակետերը խոցելու նպատակով ավիացիոն թռչող սարքերի վրա տեղադրվող սպառազինություն: Տարբերակում են հրետանային, հրթիռային և ռմբակոծչային ԱՍ: 
