աբոնեմենտ	- բաժանորդագիր
ինովացիա	- նորարարություն, նորամուծություն
ինստրուկտոր	- հրահանգիչ
ինվալիդ	- հաշմանդամ
իվենթ	- իրադարձություն, միջոցառում
ինվեստիցիա	- ներդրում
ինվեստոր	- ներդրող
ինտերպրետացիա	- մեկնաբանություն
ինտերվալ	- ժամանակամիջոց
ինցիդենտ	- միջադեպ, դեպք
ինֆրաստրուկտուրա	- ենթակառուցվածք
լակոնիկ	- սեղմ, հակիրճ
լանցետ	- նշտար
լեգիտիմ	- օրինական, օրինակարգ
լիբերալ	- ազատական
լիդեր	- առաջնորդ, առաջատար
լիկվիդացիա	- լուծարում, լուծարք, վերացում
լիմիտ	- սահմանաչափ, սահմանափակում
լյուկ	- դիտանցք, դիտահոր
լոգիկա	- տրամաբանություն
լոկալ	- տեղային
լոմբարդ	- գրավատուն
խրոնոլոգիա	- ժամանակագրություն
կաբել	- մալուխ
կալա	- փողաշուշան
կալկուլյատոր	- հաշվիչ
կամին	- բուխարի
կատաստրոֆիկ	- աղետալի
կատեգորիա	- կարգ
կատեգորիկ	- վճռական
կարաուլ	- պահակախումբ
կարկաս	- հիմնակմախք, հիմնամաս, կմախք
կաֆել	- հախճասալ, սալիկ
կերամիկա	- 1. խեցեգործություն, 2. խեցեղեն
կլապան	- փական, կափույր
կնոպկա	- կոճակ, կոճգամ
կոլեգիա	- վարչանի
կոլեկցիա	- հավաքածու
կոլեկցիոներ	- հավաքորդ
կոմունիկացիա	- հաղորդակցություն
կոմպենսացիա	- փոխհատուցում
կոմպետենտ	- իրազեկ, իրավասու
կոմպոնենտ	- բաղադրիչ, բաղկացուցիչ
կոմպրոմիս	- փոխզիջում
կոմֆորտ	- 1. հարմարավետություն, 2. հարմարավետ
կոնսենսուս	- համաձայնություն
կոնսոլիդացիա	- համախմբում
կոնստրուկտիվ	- կառուցողական
կոնսուլտացիա	- խորհրդատվություն
կոնվերսիա	- փոխարկում
կոնտենտ	- բովանդակություն
կոնցեպցիա	- հայեցակարգ
կոնֆիդենցիալ	- գաղտնի, խորհրդապահական
կոնֆլիկտ	- հակամարտություն, բախում, ընդհարում
կոնֆրոնտացիա	- առճակատում
կուլմինացիա	- բարձրակետ, գագաթնակետ
կրեատիվ	- ստեղծագործ
կրեմ	- քսուք
կրիտերիա	- չափանիշ
կուրատոր	- համադրող
հաքեր	- ցանցահեն
հիպոթեզ	- վարկած, ենթադրություն
հորոսկոպ	- աստղագուշակ
մակետ	- մանրակերտ, նախանմուշ
մանժետ	- թեզանիք
մանիակ	- մոլագար
մասաժիստ	- մերսող
մարիոնետ	- խաղատիկնիկ, խամաճիկ
մարկա	- 1. նամականիշ, 2. մակնիշ
մարկետ	- խանութ
մարկեր	- նշիչ
մաքսիմում	- առավելագույն
մեդիա	- լրատվամիջոց
մեմորանդում	- հուշագիր
մեյքափ	- դիմահարդարանք, դիմահարդարում
մենեջեր	- կառավարիչ
մենեջմենտ / մենեջմենթ	- կառավարում
մենտալիտետ / մենթալիտետ	- մտածելակերպ
մեսիջ	- հաղորդագրություն, ուղերձ
մետլախ	- հախճասալ
միկրոսկոպ	- մանրադիտակ
մինիմում	- նվազագույն
միսիա	- առաքելություն
միֆ	- առասպել
մոնիթորինգ / մոնիտորինգ	- մշտադիտարկում, դիտանց
մոնոլոգ	- մենախոսություն
մոնոպոլիա	- մենաշնորհ, մենատիրություն
մոնոպոլիստ	- մենաշնորհյալ, մենաշնորհատեր
մոնումենտալ	- 1. կոթողային, 2. հսկայական, վիթխարի, 3. հոյակերտ, փառահեղ
մոտիվացիա	- դրդապատճառ, շարժառիթ
նասոս	- պոմպ
նեգատիվ	- բացասական
նեյտրալ	- չեզոք
նյուանս	- նրբերանգ
նոմինացիա	- անվանակարգ
նոն-ստոպ	- անդադար, անընդմեջ, անընդհատ
նոնսենս	- անհեթեթություն, անիմաստություն
նոստալգիա	- 1. կարոտ, կարոտախտ, 2. հայրենաբաղձություն
շանս	- հնարավորություն
շլագբաում	- ուղեփակոց
շտամպ	- դրոշմ, դրոշմակնիք
շտանգա	- ծանրաձող
շտեպսել	- վարդակ
չաթ	- զրուցարան
չեկ / չեք	- վճարագիր, անդորրագիր
պանիխիդա	- հոգեհանգիստ
պանիկա	- խուճապ
պանորամա	- համայնապատկեր
պատենտ	- արտոնագիր
պարազիտ	- մակաբույծ, փխբ․ պորտաբույծ
պարամետր	- չափանիշ
պարկինգ / փարքինգ	- 1. կայանատեղ, կայանատեղի, 2. կայանելը, կայանում
պարոլ (ռազմ.)	- անցաբառ, նշանաբառ
պացիֆիստ	- խաղաղասեր
պեդալ	- ոտնակ
պեյզաժ	- բնանկար, բնապատկեր
պեսիմիստ	- հոռետես
պերմանենտ	- ած․ մշտական, մշտատև, մկբ․ մշտապես
պիպետկա	- կաթոցիկ
պյուրե	- խյուս
պոզիտիվ	- դրական
պոպուլիզմ	- ամբոխահաճություն
պոպուլիստ	- ամբոխահաճ
պոստուլատ	- կանխադրույթ
պոտենցիալ	- ներուժ, կարողություն
պրակտիկ	- գործնական
պրեզենտացիա	- շնորհանդես, ներկայացում
պրեպարատ	- պատրաստուկ
պրեսսինգ	- ճնշում
պրետենզիա	- 1․պահանջ, հայց, 2․ հավակնություն, նկրտում, 3․ բողոք
պրիմիտիվ	- պարզունակ, պարզ
պրինտեր	- տպիչ
պրինցիպ	- սկզբունք
պրոգրես	- առաջընթաց, առաջխաղացում
պրոդուկտ	- արդյունք, արտադրանք
պրոդուկտիվ	- արդյունավետ
պրոյեկտ	- նախագիծ, ծրագիր
պրոպագանդա	- քարոզչություն
պրովոկացիա	- սադրանք
պրոցես	- գործընթաց, ընթացք
պրոֆեսիոնալ	- արհեստավարժ
ջիմ	- մարզասրահ
ռադիկալ	- արմատական
ռացիոնալ	- բանական, տրամաբանական
ռեալ	- իրական
ռեակցիոն	- հետադիմական
ռեգլամենտ	- աշխատակարգ
ռեյտինգ	- վարկանիշ
ռեսթայլինգ	- ոճափոխութուն
ռեսուրս	- միջոց, պաշար
ռեֆորմ	- բարեփոխում
ռուբին	- սուտակ
սանկցիա(ներ)	- պատժամիջոց(ներ)
սատելիտ	- արբանյակ
սեկտա	- աղանդ
սեկցիա	- 1.մասնախումբ, 2.բաժին, բաժանմունք, մաս
սեմեստր	- կիսամյակ
սեսիա	- ․ քննաշրջան, ․ նստաշրջան
սթաֆ	- աշխատակազմ, անձնակազմ
սիմվոլ	- խորհրդանիշ
սիմվոլիկ	- խորհրդանշական
սիստեմ	- համակարգ
սիտուացիա	- իրադրություն, իրավիճակ
սկեպտիկ	- կասկածամիտ, թերահավատ
սոլիդ	- 1.ծանրակշիռ, 2.պատկառելի, 3.ներկայանալի
սպեցիֆիկ	- առանձնահատուկ, յուրահատուկ
ստատիստիկա	- վիճակագրություն
ստատուս	- կարգավիճակ
ստարտ	- մեկնարկ
ստեպլեր	- կարիչ
ստիմուլ	- խթան, ազդակ, շարժառիթ
ստրատեգիա	- ռազմավարություն
սուբյեկտիվ	- 1.ենթակայական, 2.անձնական, անհատական
սուվերեն	- ինքնիշխան
վակցինա	- պատվաստանյութ
վերբալ	- խոսքային, բանավոր
վիզուալ	- տեսողական
վոլոնտյոր	- կամավոր
տակտիկա	- մարտավարություն
տելեպատիա	- հեռազգայություն, հեռազգացություն
տենդենց	- միտում
տոտալ	- ամբողջական, համապարփակ, համընդգրկուն
տոլերանտ	- հանդուրժող
տրանսֆորմացիա	- 1. փոխակերպություն, փոխակերպում, 2. ձևափոխություն
տրենաժոր	- մարզասարք
ցիվիլ	- քաղաքակիրթ
ցիտատ	- մեջբերում
ուլտիմատում	- վերջնագիր
փասվորդ	- գաղտնաբառ
փոսթ	- գրառում, հրապարակում
քեմփ	- ճամբար
քոմենթ	- մեկնաբանություն
քսերոքս	- պատճենահան
քրոնիկոն	- ժամանակագրություն
օբյեկտիվ	- 1.առարկայական, 2.անկողմնակալ, անաչառ
օնլայն	- առցանց
օնկոլոգ	- ուռուցքաբան
օպոզիցիա	- ընդդիմություն
օպոնենտ	- ընդդիմախոս
օրիենտացիա	- կողմնորոշում
օրխիդեա	- խոլորձ
օֆիս	- գրասենյակ
օֆիցիալ	- պաշտոնական
օֆլայն	- անցանց
ֆակտոր	- գործոն
ֆակուլտատիվ	- կամընտրական
ֆասադ	- ճակատամաս (շենքի՝ կառույցի)
ֆեյք	- կեղծ
ֆենոմենալ	- բացառիկ, արտասովոր, արտակարգ
ֆիասկո	- (լիակատար) ձախողում, տապալում
ֆիլտր	- զտիչ
ֆինիշ	- 1.ավարտ, 2.վերջնագիծ
ֆոյե	- ճեմասրահ
ֆոնոգրաֆ	- ձայնագիր
ֆորմալ	- 1. ձևային, 2. պաշտոնական, ձևական
ֆորում	- համաժողով
ֆրոնտ	- 1. ճակատ, 2. ռազմաճակատ
